traceID,order,structtype,method1,method2,m1_para,m2_para,class1,class2
8,33,null,org.mybatis.jpetstore.mapper.AccountMapper.getAccount,org.mybatis.jpetstore.domain.Account.setState,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account
8,34,null,org.mybatis.jpetstore.mapper.AccountMapper.getAccount,org.mybatis.jpetstore.domain.Account.setZip,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account
8,35,null,org.mybatis.jpetstore.mapper.AccountMapper.getAccount,org.mybatis.jpetstore.domain.Account.setCountry,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account
8,36,null,org.mybatis.jpetstore.mapper.AccountMapper.getAccount,org.mybatis.jpetstore.domain.Account.setPhone,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account
8,37,null,org.mybatis.jpetstore.mapper.AccountMapper.getAccount,org.mybatis.jpetstore.domain.Account.setLanguagePreference,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account
8,38,null,org.mybatis.jpetstore.mapper.AccountMapper.getAccount,org.mybatis.jpetstore.domain.Account.setFavouriteCategoryId,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account
8,39,null,org.mybatis.jpetstore.mapper.AccountMapper.getAccount,org.mybatis.jpetstore.domain.Account.setListOption,java.lang.String,boolean,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account
8,40,null,org.mybatis.jpetstore.mapper.AccountMapper.getAccount,org.mybatis.jpetstore.domain.Account.setBannerOption,java.lang.String,boolean,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account
8,41,null,org.mybatis.jpetstore.mapper.AccountMapper.getAccount,org.mybatis.jpetstore.domain.Account.setBannerName,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account
8,42,null,org.mybatis.jpetstore.web.actions.AccountActionBean.editAccount,org.mybatis.jpetstore.domain.Account.getFavouriteCategoryId,,,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Account
8,43,null,org.mybatis.jpetstore.web.actions.AccountActionBean.editAccount,org.mybatis.jpetstore.service.CatalogService.getProductListByCategory,,java.lang.String,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.service.CatalogService
8,44,null,org.mybatis.jpetstore.service.CatalogService.getProductListByCategory,org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,java.lang.String,java.lang.String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.mapper.ProductMapper
8,45,null,org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,org.mybatis.jpetstore.domain.Product.<init>,java.lang.String,,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
8,46,null,org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,org.mybatis.jpetstore.domain.Product.setProductId,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
8,47,null,org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,org.mybatis.jpetstore.domain.Product.setName,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
8,48,null,org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,org.mybatis.jpetstore.domain.Product.setDescription,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
